Location code,0-4,05-Sep,Oct-14, 15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total,0-4.1,5-9.1,10-14.1, 15-19.1,20-24.1,25-29.1,30-34.1,35-39.1,40-44.1,45-49.1,50-54.1,55-59.1,60-64.1,65-69.1,70-74.1,75+.1,Total.1,0-4.2,5-9.2,10-14.2, 15-19.2,20-24.2,25-29.2,30-34.2,35-39.2,40-44.2,45-49.2,50-54.2,55-59.2,60-64.2,65-69.2,70-74.2,75+.2,Total.2
516,0.705193437,0.844721901,1.148527229,2.204561048,3.996954701,5.783325598,8.376902345,8.265447545,6.853820852,6.782929409,7.471989135,8.023163292,9.149461968,9.988910452,12.23228995,12.74700988,4.305179707,0.729471727,0.826908456,1.159878177,2.422162375,4.530006631,6.540569048,9.558212921,9.902714699,7.900559472,7.49739127,8.412211705,9.666835786,11.41229528,13.69422092,16.18975904,15.78134054,4.792142134,0.680827724,0.862518126,1.137217645,1.989208867,3.476967114,5.056338874,7.2507224,6.717100848,5.871975806,6.135341566,6.687721015,6.754392836,7.577656137,7.727678571,9.777095569,11.20799451,3.8470616
520,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.31567288,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
524,0.16373741,0.218597277,0.362337011,0.666315237,1.147934953,2.203013303,3.368930566,3.571378838,3.243841991,3.266541353,2.822641605,2.624031776,2.23000859,1.95011331,2.588588931,2.236443428,1.673361063,0.172402844,0.238190932,0.38721144,0.486972322,0.663543141,1.444111705,2.567884948,2.997518906,2.426158596,2.215714967,1.828358016,1.722656789,1.346314311,1.20169312,1.596115134,1.368394425,1.100728288,0.154647954,0.198781768,0.337172187,0.84800706,1.589519744,2.766064398,3.849785663,3.880812422,3.743433104,4.05847418,3.664958974,3.406895022,2.996451809,2.61386723,3.376385371,2.933007694,2.157499066
528,3.418907905,6.324794739,6.885677722,8.215812723,15.66137348,19.7099931,22.13346851,22.78671061,22.34929676,20.27336779,16.39711332,14.07746569,12.16544277,10.84651344,8.179860549,7.843157182,13.76335267,3.459739316,6.448779999,6.851362488,7.997607275,14.70429449,18.99152371,21.38764348,21.60723645,20.7270136,19.23027212,16.09124962,13.57310148,11.31209249,10.22290779,8.09684675,8.040825194,13.28786146,3.375943802,6.19399039,6.921931439,8.446009494,16.66442618,20.455948,22.89890515,23.98940666,23.98016503,21.31385742,16.70567454,14.5907123,13.01857613,11.45146107,8.258770861,7.693817328,14.23549338
531,32.7812361,30.18867925,32.0472516,41.45526767,46.03725924,46.32858424,48.79931389,44.53432677,46.09138155,38.73245813,37.52040553,29.63947759,24.14100053,21.01150882,19.82791833,21.19301236,34.86288848,31.33289846,29.30285282,30.9577254,40.40938768,41.19703826,42.67127465,45.46732256,44.57684825,46.15772235,36.43252099,32.39244695,26.15025162,22.02934491,20.07883715,17.70987837,20.45851528,33.07053227,34.29611098,31.11860373,33.17802368,42.55083179,51.11015305,49.84368894,51.61099031,44.50123036,46.04138979,40.55501461,41.57182405,32.32728783,25.73885848,21.71101256,21.44474638,21.66317261,36.3890738
533,51.5625,57.70653514,41.38235294,36.629681,36.68208857,45.35401214,71.90265487,71.04810997,70.14836795,69.19399814,64.38221567,50.32549928,39.25512588,34.83796296,29.24221292,27.12187679,50.19669183,48.69649179,54.08304498,38.38120104,35.57929334,35.54913295,40.26827985,62.94675419,71.61410019,71.69749009,69.71527179,60.81840064,46.44743159,36.58119658,33.03538175,27.53164557,28.58570715,47.99770941,54.55768584,61.46393972,44.46764092,37.70722113,37.8292099,50.70578467,81.05891126,70.56,68.88469828,68.74691663,67.40858506,53.62466816,41.49189704,36.27713351,30.59019119,26.21838371,52.18088518
534,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,67.26598573,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
535,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
540,3.540761693,7.840676706,13.1150548,16.76481585,18.45475181,23.01567303,31.30259172,32.11075674,32.02879448,33.01417263,38.25367244,36.70317831,36.19077307,38.52253337,42.06819867,41.48317408,25.61937154,3.615171869,7.648931332,12.88757077,17.09197724,18.42986274,22.24252332,30.92248135,32.9679756,33.90922102,34.64292444,41.45209415,39.23774955,40.23119505,44.37487376,45.93037816,49.41916747,26.67911748,3.462890221,8.041060736,13.35205993,16.42544277,18.48083501,23.86700551,31.69704096,31.22917075,30.17900241,31.36506725,35.10603589,34.2217484,32.4813154,32.74142059,38.30772982,35.51673945,24.54839323
548,0.636882129,0.569514238,0.482583846,0.593282832,0.852985449,1.102216501,1.36974388,1.866044652,1.960784314,2.087794433,1.833592804,1.747745742,1.733333333,1.920204822,1.206732296,1.941448382,1.060393944,0.507918918,0.462824724,0.420997921,0.547010747,0.818988398,1.126375971,1.432743201,1.950174727,2.091584158,2.249056604,1.861479121,1.826986573,1.803091013,1.936547178,1.503759398,2.003535651,1.039886955,0.773637565,0.684089573,0.5489581,0.643581672,0.888225122,1.080669711,1.312401362,1.784345922,1.829268293,1.922182607,1.803893552,1.666666667,1.658476658,1.902654867,0.901481005,1.873385013,1.081473656
